# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	nanoFTIR-QualityControl
# Description:	 	NeaSpec-Slow-Arrowhead-Clean-REV2-45avg
# Date:	 	05/19/2024 16:59:10
# Scanner Center Position (X, Y):	[µm]	46.77	49.79	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	470.000	490.000	 
# Averaging:	 	45	 	 
# Integration time:	[ms]	20	 	 
# Wavenumber Scaling:	 	1.003656	 	 
# Laser Source:	 	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	68,263.500	 	 
# Tip Amplitude:	[mV]	339.702	 	 
# Tapping Amplitude:	[nm]	76.233	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.49	 	 
# Regulator (P, I, D):	 	3.767854	6.228756	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	2.066	 	 
# Q-Factor:	 	221.1	 	 
# Version:	 	2.1.11508.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	28	71.6897147857143	24.485971	-2.5866709	13.982643	-0.8394649	2.6318696	2.3158062	1.0354931	-0.7588831	0.35147533	1.8643248	0.16736136	2.2526076	
0	0	29	74.25006174234696	28.530867	2.2054412	13.798313	-2.0766501	2.6142108	1.0542424	0.9542115	-1.9950701	0.33052734	0.6492442	0.21279043	0.7585032	
0	0	30	76.81040869897961	37.08102	0.8010756	13.547372	2.9555151	2.6329322	-0.20290507	0.867689	3.0016458	0.31309825	-0.6163393	0.27446568	-0.55764	
0	0	31	79.37075565561224	48.75228	-0.4607968	13.330589	1.6918318	2.656539	-1.4494975	0.81589395	1.653126	0.31694067	-1.9295707	0.3348888	-1.7722174	
0	0	32	81.9311026122449	59.821133	-1.6158127	13.199631	0.41957876	2.6521578	-2.6913638	0.83379257	0.286063	0.3522466	3.060852	0.38179317	-2.9331858	
0	0	33	84.49144956887756	66.44802	-2.7142339	13.171975	-0.85690993	2.609393	2.3409379	0.91047347	-1.0266829	0.40703407	1.8427002	0.4059966	2.2100596	
0	0	34	87.05179652551021	65.93352	2.4867935	13.250116	-2.1327953	2.5518904	1.0675524	0.9952369	-2.2649035	0.45856047	0.68565375	0.40507516	1.0619121	
0	0	35	89.61214348214287	57.422707	1.3790296	13.400311	2.881032	2.528378	-0.23022828	1.0405629	2.8253582	0.48990938	-0.4506501	0.38655743	-0.12010281	
0	0	36	92.17249043877553	42.50912	0.16460595	13.521742	1.6221097	2.5771337	-1.5349818	1.0263964	1.6367908	0.49699038	-1.6030507	0.36542445	-1.3448299	
0	0	37	94.73283739540818	27.768677	-1.4051335	13.475248	0.3705303	2.68617	-2.8212764	0.9651356	0.4140878	0.4886007	-2.7948544	0.3528363	-2.5869918	
0	0	38	97.29318435204084	31.077538	2.898217	13.182282	-0.8854239	2.7949598	2.2048075	0.8958541	-0.86855274	0.47907665	2.2569187	0.3442299	2.4775157	
0	0	39	99.8535313086735	52.051403	1.3998581	12.727736	-2.1617033	2.838552	0.9664135	0.8620424	-2.2005343	0.4751743	1.0083475	0.3236903	1.2906417	
0	0	40	102.41387826530612	76.29396	0.18190631	12.375868	2.8161108	2.7918775	-0.27581093	0.8756599	2.7515225	0.47033757	-0.2392515	0.28041112	0.093715005	
0	0	41	104.97422522193878	98.87633	-0.95262414	12.4209795	1.4944006	2.6893582	-1.5445268	0.90918475	1.4570774	0.45598477	-1.496633	0.22243372	-1.2113702	
0	0	42	107.53457217857144	117.81231	-2.0582285	12.929952	0.18745422	2.6101232	-2.847256	0.93021315	0.1910152	0.4374248	-2.7926776	0.1874287	-2.7460134	
0	0	43	110.0949191352041	131.78564	3.1297274	13.657288	-1.0826743	2.6208718	2.1206212	0.92956966	-1.0733109	0.43566254	2.152872	0.2162285	1.9703532	
0	0	44	112.65526609183675	139.75679	2.035402	14.24198	-2.318247	2.712018	0.8287433	0.92122483	-2.3530297	0.46468356	0.8312646	0.27985632	0.6478556	
0	0	45	115.21561304846941	141.11227	0.93404573	14.437702	2.7466009	2.8051162	-0.42418942	0.9241722	2.6402543	0.5088237	-0.41778988	0.33238345	-0.523671	
0	0	46	117.77596000510206	135.9141	-0.18295446	14.206971	1.5252651	2.821589	-1.6512259	0.9428384	1.3600191	0.5373943	-1.6015192	0.35426503	-1.6539954	
0	0	47	120.33630696173472	124.96343	-1.3258079	13.701341	0.28451043	2.7360656	-2.8791342	0.96496546	0.10195986	0.53145444	-2.764802	0.34613457	-2.805559	
