# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Interferogram Tests
# Description:	 	Gold_SiO2_IFGshift_center650_ref
# Date:	 	03/17/2023 16:59:48
# Scanner Center Position (X, Y):	[µm]	50.00	50.00	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	800.000	 
# Averaging:	 	8	 	 
# Integration time:	[ms]	13	 	 
# Wavenumber Scaling:	 	1.003656	 	 
# Laser Source:	 	
# Detector:	 	R
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	246,794.641	 	 
# Tip Amplitude:	[mV]	54.700	 	 
# Tapping Amplitude:	[nm]	100.168	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.00	 	 
# Regulator (P, I, D):	 	2.507512	3.395358	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	1.520	 	 
# M1A Cantilever Factor:	 	0.000	 	 
# Q-Factor:	 	779.5	 	 
# Version:	 	1.10.9992.1
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	28	43.90995030625	18.306492	0.6331197	6.3268504	-0.8625149	2.044292	2.28207	1.1546117	2.3615308	0.77518773	-0.6927698	0.009132591	-1.0893117	
0	0	29	45.4781628171875	21.120117	1.0289168	5.1729836	-1.9148391	1.789741	1.1996249	0.98984796	1.2653375	0.61888635	-1.8276051	0.007016423	-1.9111314	
0	0	30	47.046375328125	34.030437	0.4999056	3.5618818	-3.097874	1.2949649	0.031153291	0.680104	0.060228765	0.4154294	3.1342854	0.004485066	-2.6569202	
0	0	31	48.614587839062494	39.155857	-0.37547594	2.183095	1.643015	0.75163096	-1.4631739	0.38232636	-1.5924942	0.28540382	1.3530793	0.002417286	3.1307843	
0	0	32	50.18280035	35.697784	-1.473603	2.1572182	-0.26333246	0.7037396	2.7195926	0.4532194	2.5914848	0.3659852	-0.50382257	0.0018004882	3.026085	
0	0	33	51.7510128609375	31.149216	-2.8862052	2.9845023	-1.7639015	1.14925	1.1640629	0.7188614	1.1635318	0.51975226	-1.9145308	0.0021212979	2.5160184	
0	0	34	53.319225371875	36.654648	1.8616487	3.5990667	-3.0332122	1.5314608	-0.05825652	0.90379244	-0.026338981	0.6324759	3.1274369	0.002210337	1.6061534	
0	0	35	54.8874378828125	48.5671	0.5729005	3.8309515	2.016066	1.7142328	-1.2146852	0.9650257	-1.1712588	0.6796405	1.9277704	0.0018712928	0.528673	
0	0	36	56.455650393750005	56.510456	-0.56030095	3.8459537	0.76034933	1.7178894	-2.378371	0.9270671	-2.319912	0.66901493	0.72612524	0.0010591366	-0.7136693	
0	0	37	58.023862904687505	55.695816	-1.6705474	3.8418908	-0.50907886	1.6225221	2.711545	0.8332142	2.8040855	0.62194633	-0.49244323	0.0006497964	2.51822	
0	0	38	59.592075415625004	47.10878	-2.8646457	3.8641367	-1.7537774	1.5056514	1.500397	0.7158912	1.6544945	0.5597045	-1.722576	0.0025457637	0.9964776	
0	0	39	61.1602879265625	37.92326	2.0074968	3.8083313	-2.9522183	1.390383	0.30795547	0.5860638	0.55309945	0.49206248	-2.941204	0.0047224727	-0.02021918	
0	0	40	62.728500437499996	38.797817	0.44651017	3.5636632	2.1678457	1.2471477	-0.83481425	0.44696745	-0.4474808	0.41588587	2.1633718	0.006460579	-0.9474948	
0	0	41	64.2967129484375	47.79165	-0.9067116	3.1085467	1.0091188	1.0417337	-1.9213682	0.3172104	-1.2561305	0.32501307	1.0475792	0.00708136	-1.8172903	
0	0	42	65.864925459375	54.01513	-2.058121	2.5192149	-0.19219416	0.7686222	-2.9622016	0.2480396	-1.7632669	0.22060287	0.022380745	0.006139744	-2.6059594	
0	0	43	67.4331379703125	51.76395	-3.1292078	1.9547327	-1.5085726	0.4488702	2.3030782	0.27819172	-2.2224538	0.11476674	-0.80609673	0.0038120495	-3.1366944	
0	0	44	69.00135048125	40.604454	2.0762148	1.6563671	-2.9996722	0.114384755	1.1402569	0.35122743	-2.9102855	0.048895232	-0.684467	0.003078213	-2.6943467	
0	0	45	70.5695629921875	24.233322	0.8348651	1.8094965	1.7620634	0.22419363	-2.5172772	0.4119517	2.5774856	0.09524151	-0.5390478	0.0068907407	-2.8956597	
0	0	46	72.137775503125	14.484801	-1.1361967	2.2891772	0.41022834	0.53622615	2.7713742	0.44548547	1.7921022	0.15124385	-1.1444864	0.01112503	2.686706	
0	0	47	73.7059880140625	23.966787	-2.9341557	2.8706503	-0.7960571	0.8207159	1.8480495	0.46343252	1.075046	0.2020828	-1.7855347	0.014143984	1.8862126	
0	0	48	75.27420052500001	33.543896	2.1689372	3.4057512	-1.9270686	1.0598282	0.93836945	0.4925977	0.4205442	0.26717883	-2.425861	0.0151698915	1.0524563	
0	0	49	76.8424130359375	35.58066	1.1051201	3.7867692	-3.0268128	1.2225568	0.027587783	0.54462695	-0.24265245	0.35429654	-3.1294107	0.013949511	0.20137174	
0	0	50	78.410625546875	29.853271	0.00071250997	3.9309132	2.157645	1.26828	-0.895071	0.5906031	-0.974943	0.4457253	2.3691974	0.010745286	-0.66777915	
0	0	51	79.9788380578125	20.51346	-1.359549	3.8066957	1.0302778	1.1623126	-1.846062	0.580183	-1.7847831	0.50988895	1.5241504	0.006247383	-1.5860431	
0	0	52	81.54705056875	19.39522	3.1020586	3.4798055	-0.16205429	0.9003055	-2.869462	0.47553077	-2.6706374	0.5173292	0.63905424	0.0016219497	-3.0046468	
0	0	53	83.11526307968751	30.212809	1.6438183	3.1445932	-1.4529394	0.5521244	2.1408534	0.2738169	2.5759232	0.45282248	-0.27742535	0.003533309	0.39222667	
0	0	54	84.68347559062501	41.2034	0.5360034	3.0470345	-2.8188066	0.43658185	0.1792489	0.10769081	0.20280333	0.32280508	-1.2346303	0.0068601747	-0.5834932	
0	0	55	86.25168810156251	46.804745	-0.46956658	3.2237947	2.1269646	0.7481723	-1.3781182	0.35159266	-1.6595643	0.15708968	-2.3124382	0.008834493	-1.423291	
0	0	56	87.8199006125	45.475006	-1.4626592	3.4220698	0.8747942	1.0510807	-2.4680524	0.59667957	-2.6793926	0.044710293	1.4274759	0.0094528515	-2.2197523	
0	0	57	89.3881131234375	38.10099	-2.5059419	3.369123	-0.32518247	1.1582185	2.8506355	0.7305685	2.6730824	0.13443032	-0.5399098	0.009020353	-2.99408	
0	0	58	90.956325634375	27.996706	2.5822148	2.9664078	-1.5443215	1.0167311	1.9340425	0.71258795	1.7767767	0.17001528	-1.7468138	0.007930752	2.5106885	
0	0	59	92.5245381453125	21.51318	1.0978329	2.3669438	-2.8946655	0.65012866	1.0505956	0.54232514	0.921853	0.14632519	3.0705085	0.0065073655	1.6750875	
0	0	60	94.09275065625	23.239185	-0.4293582	2.0589352	1.7965461	0.1442485	0.3465698	0.2626938	0.22495645	0.1842581	1.1815687	0.00506836	0.67927736	
0	0	61	95.6609631671875	26.93959	-1.6924856	2.4659703	0.21565135	0.396057	2.2609453	0.13795863	1.3093711	0.3359624	-0.22066337	0.004349889	-0.5983255	
0	0	62	97.22917567812499	26.390423	-2.8341033	3.1961074	-1.1136397	0.8374198	1.40711	0.42702255	0.9741964	0.50036556	-1.3086531	0.005248051	-1.9423782	
0	0	63	98.79738818906249	20.59289	2.2391822	3.7606819	-2.3021076	1.1015133	0.498955	0.65121925	0.16979928	0.6112469	-2.3001058	0.007112546	-3.0584571	
0	0	64	100.3656007	14.387547	0.6222231	3.9631858	2.8311827	1.1573493	-0.4564295	0.7479376	-0.69014657	0.6338589	3.0211537	0.008703606	2.2579398	
0	0	65	101.9338132109375	18.849447	-1.2038932	3.8220198	1.6596203	1.0420811	-1.4983432	0.709801	-1.5730015	0.5617603	2.0531662	0.009178811	1.352246	
0	0	66	103.502025721875	28.839207	-2.493144	3.512699	0.42492157	0.86956495	-2.701924	0.5650692	-2.4864361	0.41598722	1.0289406	0.008085733	0.46764147	
0	0	67	105.0702382328125	35.075356	2.7139874	3.2819228	-0.8803797	0.8129547	2.2061837	0.36834273	2.7990694	0.24622451	-0.20982257	0.005382807	-0.42629883	
0	0	68	106.63845074375	34.047527	1.6717098	3.2645059	-2.2023525	0.9323792	0.891456	0.1976111	1.4981978	0.1703047	-2.077718	0.001494567	-1.5422869	
0	0	69	108.2066632546875	25.874372	0.53280747	3.3540053	2.8033888	1.0865179	-0.24735071	0.16479816	-0.26768807	0.26011294	2.5774274	0.0031489353	1.2844725	
0	0	70	109.774875765625	16.671928	-1.0594898	3.3489058	1.5667232	1.1412568	-1.2903906	0.2150396	-1.5140471	0.35833952	1.4308866	0.00729068	0.34581852	
0	0	71	111.3430882765625	22.589647	-2.9556828	3.1611676	0.31894717	1.0431134	-2.3222282	0.22440122	-2.383651	0.40890017	0.39608485	0.010285705	-0.51378524	
0	0	72	112.91130078750001	37.095257	2.0772877	2.902907	-1.0030528	0.8100518	2.8470814	0.1725737	-3.05956	0.41167027	-0.6377948	0.011536159	-1.3530242	
0	0	73	114.47951329843751	47.87805	1.065264	2.8504527	-2.4109147	0.5538704	1.4517081	0.08202186	3.0831115	0.38430494	-1.7183379	0.0108529525	-2.176014	
0	0	74	116.04772580937501	50.567524	0.12022189	3.1689448	2.4858942	0.5350247	-0.31919965	0.14010009	-2.3808339	0.34948197	-2.8634787	0.008489536	-2.971166	
0	0	75	117.61593832031251	44.16281	-0.8163835	3.6701703	1.2090578	0.76497185	-1.7768137	0.31666204	-2.8585305	0.3210551	2.2291732	0.0050969366	2.600203	
0	0	76	119.18415083125001	30.33511	-1.8122804	4.0464587	0.016601793	0.9723609	-2.9600413	0.49188548	2.6926603	0.29475802	1.025892	0.0018920685	2.4174101	
0	0	77	120.75236334218751	14.277729	3.0980663	4.112855	-1.1495329	1.0410908	2.1969423	0.6194913	1.8676183	0.25842026	-0.20216319	0.0026761098	3.13329	
